"Country","Year","Sex","Age group","Mean total cholesterol (mmol/L)","Mean total cholesterol lower 95% uncertainty interval (mmol/L)","Mean total cholesterol upper 95% uncertainty interval (mmol/L)","Mean non-HDL cholesterol (mmol/L)","Mean non-HDL cholesterol lower 95% uncertainty interval (mmol/L)","Mean non-HDL cholesterol upper 95% uncertainty interval (mmol/L)","Mean HDL cholesterol (mmol/L)","Mean HDL cholesterol lower 95% uncertainty interval (mmol/L)","Mean HDL cholesterol upper 95% uncertainty interval (mmol/L)"
"Canada",2002,"Men","18-19",4.12766142672734,3.94994581702229,4.30750351750021,2.85356551115579,2.70309057416425,3.00340538143219,1.21908485067148,1.14251548542513,1.30002516173445
"Canada",2002,"Men","20-24",4.44133407335818,4.26563052762651,4.61611987674386,3.17957093736072,3.04821216098038,3.3113664927243,1.21435348531931,1.14050534268615,1.29124988899466
"Canada",2002,"Men","25-29",4.81504756683718,4.63268649545518,4.99960366992036,3.56989829792867,3.44894782302606,3.69253160653619,1.20603918698671,1.13375742645079,1.28124557569342
"Canada",2002,"Men","30-34",5.10519734282261,4.90983098424984,5.30475610754756,3.87426001340776,3.754048158074,3.99880286846883,1.19759237597317,1.12481403436214,1.27238553615612
"Canada",2002,"Men","35-39",5.31617703210226,5.11220433453514,5.52548291330352,4.09569383352629,3.97011493798714,4.22244613866008,1.1908987636428,1.11727840834901,1.26735148248112
"Canada",2002,"Men","40-44",5.45238026546392,5.24178349311096,5.67085742171446,4.23723750801254,4.10711868687583,4.36683374102476,1.18784406135971,1.11328202715464,1.26511771026348
"Canada",2002,"Men","45-49",5.51833521375809,5.30121292119381,5.74372439443026,4.3021670765029,4.16833388050245,4.43743215254109,1.19021251565061,1.11433266827148,1.26843609561967
"Canada",2002,"Men","50-54",5.52166446927752,5.29994475856559,5.75073303935794,4.29923924652044,4.15820125483944,4.43882617058943,1.19745468178155,1.11970751748257,1.27760933083309
"Canada",2002,"Men","55-59",5.47308504575715,5.24648179354151,5.70873104907227,4.24269139347484,4.09724024532414,4.388871776107,1.206687423758,1.12800076798243,1.28918137124987
"Canada",2002,"Men","60-64",5.38352001196984,5.15232329494317,5.6237875597461,4.14696951853087,3.99750657721858,4.2985879989764,1.21500950605864,1.13654821145126,1.29809509278503
"Canada",2002,"Men","65-69",5.26553728111733,5.03327404714383,5.50518904891203,4.02583734733308,3.87390501824428,4.18264124040875,1.22143709530716,1.14263344976088,1.30422001520406
"Canada",2002,"Men","70-74",5.13334961083026,4.89581435248335,5.37664396498129,3.89237633000583,3.73041161577939,4.05459122179765,1.22690376027229,1.14854835939016,1.31078698196568
"Canada",2002,"Men","75-79",5.00124127371444,4.74782394954613,5.25519830730071,3.75963825252041,3.58504164495427,3.93851888075461,1.23242643503339,1.15195008431702,1.31711089613463
"Canada",2002,"Men","80-84",4.88349654237569,4.59984790446401,5.16643317534496,3.64067490084812,3.42240835175752,3.86185461471169,1.23902205366984,1.15147650916365,1.32809321524084
"Canada",2002,"Men","85plus",4.77653167405312,4.39190082946719,5.16184543847488,3.52932460553842,3.18466557544968,3.88474907229472,1.25065249372213,1.13759232769344,1.36318166803559
"Canada",2003,"Men","18-19",4.10625246926919,3.92879362077927,4.28313175105976,2.83075269143666,2.68100931947323,2.98063630613502,1.22246692058467,1.14744439378317,1.30161715698971
"Canada",2003,"Men","20-24",4.41638949825763,4.24343646077811,4.58822601391288,3.15301798935709,3.02262680602629,3.28240097594729,1.21777305920706,1.14601672834834,1.29326864696073
"Canada",2003,"Men","25-29",4.7861649332142,4.60712482478816,4.97029975920284,3.53894243452653,3.41927091292545,3.65962196356768,1.20950149581606,1.13865420449181,1.28373244769055
"Canada",2003,"Men","30-34",5.07343815853852,4.88286007718049,5.26788712665637,3.83983089619389,3.72075172199994,3.96072032220855,1.20109178459485,1.13047652463664,1.27402022734412
"Canada",2003,"Men","35-39",5.28232758653244,5.08318096166238,5.4884001349297,4.05852515982712,3.93406937618932,4.18174309814221,1.1944375483952,1.12311333357678,1.26787393924516
"Canada",2003,"Men","40-44",5.41695162949783,5.20893353422242,5.63151868053752,4.19786701089416,4.06875370173829,4.32515295024714,1.19143241006888,1.11951118776185,1.26598298263304
"Canada",2003,"Men","45-49",5.48157121094047,5.26750579609511,5.7021856986591,4.26093945863681,4.1285466718319,4.3935791581778,1.19386783890143,1.11992113043484,1.27037744589872
"Canada",2003,"Men","50-54",5.48372501205664,5.26449441669016,5.70783164008661,4.25637365909563,4.11929820251482,4.39320028397956,1.20118577215544,1.12598397340498,1.27931488304529
"Canada",2003,"Men","55-59",5.43422947173315,5.21318651508578,5.66245345661126,4.1983489151099,4.05704339264491,4.3420852627974,1.21047861507051,1.1342270168313,1.29082558288632
"Canada",2003,"Men","60-64",5.34410766655786,5.11854046300296,5.57624800530921,4.10126149016167,3.95443950480045,4.24989839832252,1.21882109811795,1.14202663852035,1.300969483382
"Canada",2003,"Men","65-69",5.22585758255338,4.99911678122278,5.45824208500336,3.97894959571731,3.83041199823356,4.13251988644788,1.22523096412063,1.14828806764383,1.30749778733636
